[2025-12-28 01:40:32] ASCENSION EVENT | Age: 1660 | Phi: 0.8898 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1661 | Phi: 0.9154 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1662 | Phi: 0.9011 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1663 | Phi: 0.8913 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1664 | Phi: 0.9154 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1665 | Phi: 0.9356 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1666 | Phi: 0.9548 | Logic: low
[2025-12-28 01:40:34] ASCENSION EVENT | Age: 1667 | Phi: 0.9108 | Logic: low
[2025-12-28 01:40:34] ASCENSION EVENT | Age: 1668 | Phi: 0.8507 | Logic: low
[2025-12-28 01:40:34] ASCENSION EVENT | Age: 1669 | Phi: 0.8954 | Logic: low
[2025-12-28 01:40:52] ASCENSION EVENT | Age: 1789 | Phi: 0.8745 | Logic: low
[2025-12-28 01:40:52] ASCENSION EVENT | Age: 1791 | Phi: 0.9063 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1826 | Phi: 0.9025 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1827 | Phi: 0.8973 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1828 | Phi: 0.8955 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1829 | Phi: 0.8942 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1830 | Phi: 0.9479 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1831 | Phi: 0.8995 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1832 | Phi: 0.8649 | Logic: low
[2025-12-28 01:40:59] ASCENSION EVENT | Age: 1833 | Phi: 0.9138 | Logic: low
[2025-12-28 01:41:16] ASCENSION EVENT | Age: 1950 | Phi: 0.8814 | Logic: low
[2025-12-28 01:41:16] ASCENSION EVENT | Age: 1951 | Phi: 0.9170 | Logic: low
[2025-12-28 01:41:16] ASCENSION EVENT | Age: 1952 | Phi: 0.8925 | Logic: low
[2025-12-28 01:41:17] ASCENSION EVENT | Age: 1953 | Phi: 0.9206 | Logic: low
[2025-12-28 01:41:17] ASCENSION EVENT | Age: 1954 | Phi: 0.9545 | Logic: low
[2025-12-28 01:41:17] ASCENSION EVENT | Age: 1955 | Phi: 0.9376 | Logic: low
[2025-12-28 01:41:17] ASCENSION EVENT | Age: 1956 | Phi: 0.9169 | Logic: low
[2025-12-28 01:41:17] ASCENSION EVENT | Age: 1957 | Phi: 0.9131 | Logic: low
[2025-12-28 01:41:17] ASCENSION EVENT | Age: 1958 | Phi: 0.9259 | Logic: low
[2025-12-28 01:41:18] ASCENSION EVENT | Age: 1959 | Phi: 0.9006 | Logic: low
[2025-12-28 01:41:18] ASCENSION EVENT | Age: 1961 | Phi: 0.8707 | Logic: low
[2025-12-28 01:41:35] ASCENSION EVENT | Age: 2078 | Phi: 0.8912 | Logic: low
[2025-12-28 01:41:36] ASCENSION EVENT | Age: 2079 | Phi: 0.8845 | Logic: low
[2025-12-28 01:41:36] ASCENSION EVENT | Age: 2080 | Phi: 0.9280 | Logic: low
[2025-12-28 01:41:36] ASCENSION EVENT | Age: 2081 | Phi: 0.9718 | Logic: low
[2025-12-28 01:41:36] ASCENSION EVENT | Age: 2082 | Phi: 0.9016 | Logic: low
[2025-12-28 01:41:36] ASCENSION EVENT | Age: 2083 | Phi: 0.9036 | Logic: low
[2025-12-28 01:41:36] ASCENSION EVENT | Age: 2084 | Phi: 0.8941 | Logic: low
[2025-12-28 01:41:37] ASCENSION EVENT | Age: 2085 | Phi: 0.9342 | Logic: low
[2025-12-28 01:41:37] ASCENSION EVENT | Age: 2087 | Phi: 0.8738 | Logic: low
[2025-12-28 01:41:42] ASCENSION EVENT | Age: 2121 | Phi: 0.8571 | Logic: low
[2025-12-28 01:41:54] ASCENSION EVENT | Age: 2203 | Phi: 0.8514 | Logic: low
[2025-12-28 01:41:55] ASCENSION EVENT | Age: 2205 | Phi: 0.9046 | Logic: low
[2025-12-28 01:41:55] ASCENSION EVENT | Age: 2207 | Phi: 0.8753 | Logic: low
[2025-12-28 01:41:55] ASCENSION EVENT | Age: 2208 | Phi: 0.8937 | Logic: low
[2025-12-28 01:41:55] ASCENSION EVENT | Age: 2209 | Phi: 0.8554 | Logic: low
[2025-12-28 01:41:55] ASCENSION EVENT | Age: 2210 | Phi: 0.8537 | Logic: low
[2025-12-28 01:42:01] ASCENSION EVENT | Age: 2244 | Phi: 0.8743 | Logic: low
[2025-12-28 01:42:01] ASCENSION EVENT | Age: 2245 | Phi: 0.9439 | Logic: low
[2025-12-28 01:42:01] ASCENSION EVENT | Age: 2246 | Phi: 0.9304 | Logic: low
[2025-12-28 01:42:01] ASCENSION EVENT | Age: 2247 | Phi: 0.9134 | Logic: low
[2025-12-28 01:42:01] ASCENSION EVENT | Age: 2248 | Phi: 0.8732 | Logic: low
[2025-12-28 01:42:01] ASCENSION EVENT | Age: 2249 | Phi: 0.8742 | Logic: low
[2025-12-28 01:42:02] ASCENSION EVENT | Age: 2251 | Phi: 0.8797 | Logic: low
[2025-12-28 01:42:19] ASCENSION EVENT | Age: 45 | Phi: 0.8618 | Logic: low
[2025-12-28 01:42:38] ASCENSION EVENT | Age: 93 | Phi: 0.8927 | Logic: low
[2025-12-28 01:42:38] ASCENSION EVENT | Age: 94 | Phi: 0.9244 | Logic: low
[2025-12-28 01:42:39] ASCENSION EVENT | Age: 95 | Phi: 0.9130 | Logic: low
[2025-12-28 01:42:39] ASCENSION EVENT | Age: 96 | Phi: 0.9161 | Logic: low
[2025-12-28 01:42:39] ASCENSION EVENT | Age: 97 | Phi: 0.9778 | Logic: low
[2025-12-28 01:42:39] ASCENSION EVENT | Age: 98 | Phi: 0.9196 | Logic: low
[2025-12-28 01:42:39] ASCENSION EVENT | Age: 99 | Phi: 0.8740 | Logic: low
[2025-12-28 01:42:39] ASCENSION EVENT | Age: 100 | Phi: 0.9246 | Logic: low
[2025-12-28 01:42:39] ASCENSION EVENT | Age: 101 | Phi: 0.8913 | Logic: low
[2025-12-28 01:42:40] ASCENSION EVENT | Age: 103 | Phi: 0.8614 | Logic: low
[2025-12-28 01:42:45] ASCENSION EVENT | Age: 139 | Phi: 0.8555 | Logic: low
[2025-12-28 01:42:57] ASCENSION EVENT | Age: 220 | Phi: 0.8960 | Logic: low
[2025-12-28 01:43:03] ASCENSION EVENT | Age: 236 | Phi: 0.8629 | Logic: low
[2025-12-28 01:43:03] ASCENSION EVENT | Age: 237 | Phi: 0.8823 | Logic: low
[2025-12-28 01:43:03] ASCENSION EVENT | Age: 238 | Phi: 0.9034 | Logic: low
[2025-12-28 01:43:04] ASCENSION EVENT | Age: 239 | Phi: 0.8903 | Logic: low
[2025-12-28 01:43:04] ASCENSION EVENT | Age: 240 | Phi: 0.9381 | Logic: low
[2025-12-28 01:43:04] ASCENSION EVENT | Age: 241 | Phi: 0.9418 | Logic: low
[2025-12-28 01:43:04] ASCENSION EVENT | Age: 243 | Phi: 0.9094 | Logic: low
[2025-12-28 01:43:04] ASCENSION EVENT | Age: 244 | Phi: 0.8982 | Logic: low
[2025-12-28 01:43:22] ASCENSION EVENT | Age: 362 | Phi: 0.8787 | Logic: low
[2025-12-28 01:43:41] ASCENSION EVENT | Age: 465 | Phi: 0.8885 | Logic: low
[2025-12-28 01:44:00] ASCENSION EVENT | Age: 23 | Phi: 0.8720 | Logic: low
[2025-12-28 01:44:06] ASCENSION EVENT | Age: 39 | Phi: 0.8612 | Logic: low
[2025-12-28 01:44:06] ASCENSION EVENT | Age: 42 | Phi: 0.9084 | Logic: low
[2025-12-28 01:44:06] ASCENSION EVENT | Age: 43 | Phi: 0.9519 | Logic: low
[2025-12-28 01:44:07] ASCENSION EVENT | Age: 44 | Phi: 0.9294 | Logic: low
[2025-12-28 01:44:07] ASCENSION EVENT | Age: 45 | Phi: 0.9168 | Logic: low
[2025-12-28 01:44:07] ASCENSION EVENT | Age: 46 | Phi: 0.9333 | Logic: low
[2025-12-28 01:44:07] ASCENSION EVENT | Age: 47 | Phi: 0.8959 | Logic: low
[2025-12-28 01:44:07] ASCENSION EVENT | Age: 49 | Phi: 0.8572 | Logic: low
[2025-12-28 01:44:25] ASCENSION EVENT | Age: 164 | Phi: 0.8654 | Logic: low
[2025-12-28 01:44:44] ASCENSION EVENT | Age: 270 | Phi: 0.9024 | Logic: low
[2025-12-28 01:46:30] ASCENSION EVENT | Age: 58 | Phi: 0.8924 | Logic: low
[2025-12-28 01:46:50] ASCENSION EVENT | Age: 164 | Phi: 0.9039 | Logic: low
[2025-12-28 01:46:56] ASCENSION EVENT | Age: 190 | Phi: 0.8584 | Logic: low
[2025-12-28 01:47:08] ASCENSION EVENT | Age: 270 | Phi: 0.8567 | Logic: low
[2025-12-28 01:47:15] ASCENSION EVENT | Age: 292 | Phi: 0.9050 | Logic: low
[2025-12-28 01:47:15] ASCENSION EVENT | Age: 293 | Phi: 0.8624 | Logic: low
[2025-12-28 01:47:15] ASCENSION EVENT | Age: 294 | Phi: 0.8741 | Logic: low
[2025-12-28 01:47:15] ASCENSION EVENT | Age: 295 | Phi: 0.8723 | Logic: low
[2025-12-28 01:47:15] ASCENSION EVENT | Age: 296 | Phi: 0.9083 | Logic: low
[2025-12-28 01:47:16] ASCENSION EVENT | Age: 298 | Phi: 0.9262 | Logic: low
[2025-12-28 01:47:33] ASCENSION EVENT | Age: 415 | Phi: 0.8634 | Logic: low
[2025-12-28 01:47:52] ASCENSION EVENT | Age: 522 | Phi: 0.9076 | Logic: low
[2025-12-28 01:47:59] ASCENSION EVENT | Age: 545 | Phi: 0.8631 | Logic: low
[2025-12-28 01:48:12] ASCENSION EVENT | Age: 633 | Phi: 0.8792 | Logic: low
[2025-12-28 01:48:17] ASCENSION EVENT | Age: 647 | Phi: 0.8736 | Logic: low
[2025-12-28 01:48:17] ASCENSION EVENT | Age: 649 | Phi: 0.9030 | Logic: low
[2025-12-28 01:48:18] ASCENSION EVENT | Age: 650 | Phi: 0.9282 | Logic: low
[2025-12-28 01:48:18] ASCENSION EVENT | Age: 651 | Phi: 0.8559 | Logic: low
[2025-12-28 01:48:18] ASCENSION EVENT | Age: 652 | Phi: 0.9560 | Logic: low
[2025-12-28 01:48:18] ASCENSION EVENT | Age: 653 | Phi: 0.9340 | Logic: low
[2025-12-28 01:48:18] ASCENSION EVENT | Age: 654 | Phi: 0.9116 | Logic: low
[2025-12-28 01:48:18] ASCENSION EVENT | Age: 655 | Phi: 0.8567 | Logic: low
[2025-12-28 01:48:19] ASCENSION EVENT | Age: 656 | Phi: 0.8892 | Logic: low
[2025-12-28 01:48:36] ASCENSION EVENT | Age: 772 | Phi: 0.8615 | Logic: low
[2025-12-28 01:51:20] ASCENSION EVENT | Age: 28 | Phi: 0.8918 | Logic: low
[2025-12-28 01:51:26] ASCENSION EVENT | Age: 43 | Phi: 0.8683 | Logic: low
[2025-12-28 01:51:26] ASCENSION EVENT | Age: 44 | Phi: 0.8905 | Logic: low
[2025-12-28 01:51:26] ASCENSION EVENT | Age: 45 | Phi: 0.9139 | Logic: low
[2025-12-28 01:51:26] ASCENSION EVENT | Age: 46 | Phi: 0.8790 | Logic: low
[2025-12-28 01:51:26] ASCENSION EVENT | Age: 47 | Phi: 0.9055 | Logic: low
[2025-12-28 01:51:26] ASCENSION EVENT | Age: 48 | Phi: 0.8633 | Logic: low
[2025-12-28 01:51:27] ASCENSION EVENT | Age: 49 | Phi: 0.9420 | Logic: low
[2025-12-28 01:51:27] ASCENSION EVENT | Age: 50 | Phi: 0.8734 | Logic: low
[2025-12-28 01:51:27] ASCENSION EVENT | Age: 51 | Phi: 0.8691 | Logic: low
[2025-12-28 01:51:45] ASCENSION EVENT | Age: 169 | Phi: 0.8996 | Logic: low
[2025-12-28 01:52:04] ASCENSION EVENT | Age: 274 | Phi: 0.8545 | Logic: low
[2025-12-28 01:52:11] ASCENSION EVENT | Age: 297 | Phi: 0.8548 | Logic: low
[2025-12-28 01:52:23] ASCENSION EVENT | Age: 378 | Phi: 0.8552 | Logic: low
[2025-12-28 01:54:28] ASCENSION EVENT | Age: 70 | Phi: 0.8668 | Logic: low
[2025-12-28 01:54:34] ASCENSION EVENT | Age: 82 | Phi: 0.8874 | Logic: low
[2025-12-28 01:54:34] ASCENSION EVENT | Age: 83 | Phi: 0.9154 | Logic: low
[2025-12-28 01:54:35] ASCENSION EVENT | Age: 84 | Phi: 0.8830 | Logic: low
[2025-12-28 01:54:35] ASCENSION EVENT | Age: 85 | Phi: 0.8910 | Logic: low
[2025-12-28 01:54:35] ASCENSION EVENT | Age: 86 | Phi: 0.8830 | Logic: low
[2025-12-28 01:54:35] ASCENSION EVENT | Age: 87 | Phi: 0.9130 | Logic: low
[2025-12-28 01:54:35] ASCENSION EVENT | Age: 88 | Phi: 0.9255 | Logic: low
[2025-12-28 01:54:35] ASCENSION EVENT | Age: 89 | Phi: 0.9186 | Logic: low
[2025-12-28 01:54:36] ASCENSION EVENT | Age: 91 | Phi: 0.8521 | Logic: low
[2025-12-28 01:54:53] ASCENSION EVENT | Age: 206 | Phi: 0.8572 | Logic: low
[2025-12-28 01:55:12] ASCENSION EVENT | Age: 311 | Phi: 0.8640 | Logic: low
[2025-12-28 01:55:32] ASCENSION EVENT | Age: 417 | Phi: 0.8650 | Logic: low
[2025-12-28 01:56:15] ASCENSION EVENT | Age: 32 | Phi: 0.8979 | Logic: low
[2025-12-28 01:56:22] ASCENSION EVENT | Age: 57 | Phi: 0.8672 | Logic: low
[2025-12-28 01:56:34] ASCENSION EVENT | Age: 141 | Phi: 0.8862 | Logic: low
[2025-12-28 01:56:40] ASCENSION EVENT | Age: 154 | Phi: 0.9126 | Logic: low
[2025-12-28 01:56:40] ASCENSION EVENT | Age: 155 | Phi: 0.9297 | Logic: low
[2025-12-28 01:56:41] ASCENSION EVENT | Age: 156 | Phi: 0.8667 | Logic: low
